Date,Sales Volume,Number of Visits,Stock Price
2023-01-01,120,50,150.25
2023-01-02,150,65,152.50
2023-01-03,135,55,151.75
2023-01-04,160,70,153.00
2023-01-05,145,60,152.25
2023-01-06,170,75,154.50
2023-01-07,155,65,153.75
2023-01-08,180,80,155.00
2023-01-09,165,70,154.25
2023-01-10,190,85,156.50
2023-01-11,175,75,155.75
2023-01-12,200,90,157.00
2023-01-13,185,80,156.25
2023-01-14,210,95,158.50
2023-01-15,195,85,157.75
2023-01-16,220,100,159.00
2023-01-17,205,90,158.25
2023-01-18,230,105,160.50
2023-01-19,215,95,159.75
2023-01-20,240,110,161.00
2023-01-21,225,100,160.25
2023-01-22,250,115,162.50
2023-01-23,235,105,161.75
2023-01-24,260,120,163.00
2023-01-25,245,110,162.25
2023-01-26,270,125,164.50
2023-01-27,255,115,163.75
2023-01-28,280,130,165.00
2023-01-29,265,120,164.25
2023-01-30,290,135,166.50