BPM,RMS Energy,Zero-Crossing Rate,Жанр,Настроение
107,0.6675696238652399,0.2733737410621683,рок,Веселое
91,0.20618691666342726,0.1183963769398141,хип-хоп,Спокойное
72,0.23916256135817637,0.07066843598767454,хип-хоп,Грустное
118,0.4483607011362766,0.10752736948459396,поп,Веселое
100,0.7394679179698698,0.19554297817604555,рок,Спокойное
133,0.5073899427560628,0.14974483088605758,рок,Спокойное
156,0.7760533769831114,0.11069705934947378,рок,Спокойное
117,0.21232025503036275,0.19286381925624602,поп,Спокойное
119,0.27525815820399835,0.08992981040423674,поп,Грустное
76,0.20828959476551318,0.14366481518557073,хип-хоп,Спокойное
113,0.6675953018856915,0.1779236172438407,рок,Грустное
102,0.271936207747221,0.1252086763925529,поп,Энергичное
91,0.40985366323015815,0.12934480650466235,поп,Веселое
125,0.5975574860733739,0.11834082945169622,рок,Спокойное
95,0.3914811781530051,0.1482897762998897,поп,Энергичное
114,0.32849434248203235,0.09978011133644012,поп,Веселое
98,0.13774142166827588,0.10805440123439097,хип-хоп,Веселое
126,0.45812138549350256,0.1273426158329756,поп,Веселое
159,0.6883759697008518,0.28923890857633805,рок,Энергичное
159,0.5489131066246973,0.11999697743237268,рок,Грустное
139,0.5434587125184656,0.24884233138865958,рок,Энергичное
71,0.18955663291461833,0.11158511643899138,хип-хоп,Спокойное
138,0.29844580024241957,0.1684520847011623,поп,Спокойное
100,0.5400313630778704,0.2376060020350078,рок,Энергичное
77,0.25706813022278874,0.09965611906830776,хип-хоп,Веселое
79,0.2712648583756185,0.11798447799002458,хип-хоп,Грустное
140,0.6170160922219597,0.12269292040348961,рок,Грустное
122,0.6322746485745819,0.15952703490186218,рок,Грустное
121,0.5016654596278955,0.23620788541938179,рок,Грустное
103,0.28895304309433956,0.17625310988320808,поп,Веселое
80,0.2953229911665306,0.13866803872980477,хип-хоп,Грустное
99,0.21853934477587872,0.14442515971251674,хип-хоп,Веселое
73,0.2765272686378679,0.07500164492161046,хип-хоп,Спокойное
146,0.7977829850443283,0.19650418992852847,рок,Веселое
93,0.4945522664931593,0.19504428888894154,поп,Спокойное
158,0.5118241367187035,0.21626108344535644,рок,Грустное
94,0.38345411325970413,0.11872236659331004,поп,Энергичное
103,0.20155545883219605,0.19095719962683155,поп,Спокойное
117,0.32340617151700357,0.11357162086027349,поп,Спокойное
152,0.4703701010709382,0.198605131554361,рок,Веселое
124,0.4715290836885315,0.22048818518022378,рок,Энергичное
121,0.22824709648056804,0.16713450128862178,поп,Спокойное
94,0.28810465289792075,0.0885396620965565,хип-хоп,Веселое
91,0.29668462817896857,0.06285003532339102,хип-хоп,Грустное
134,0.4835674870461441,0.25343897062171433,рок,Спокойное
104,0.3025639000149205,0.18957989027091715,поп,Грустное
84,0.2016397553481437,0.1151484771857788,хип-хоп,Спокойное
107,0.11617066526654306,0.1367198933555004,хип-хоп,Спокойное
115,0.46598514468519797,0.10601709279037895,поп,Энергичное
114,0.6545330472743582,0.294849641706882,рок,Спокойное
111,0.47636441246013844,0.24101687285933196,рок,Веселое
109,0.4232127928997346,0.19030118622026715,поп,Грустное
108,0.2424541179848884,0.09646738129396114,хип-хоп,Грустное
126,0.5181162353675756,0.14750129425849398,рок,Грустное
147,0.5490747468376198,0.18689036889765426,рок,Спокойное
144,0.5942455014344907,0.29136017702529127,рок,Веселое
98,0.2212822750999783,0.16344933477279772,поп,Спокойное
150,0.5996773519539009,0.14451528351420612,рок,Энергичное
133,0.3300562212742226,0.14973951454169915,поп,Веселое
123,0.7456670260287612,0.267696152752797,рок,Спокойное
117,0.4143785312539856,0.08914404555189959,поп,Спокойное
110,0.49207410729662215,0.18521829500938822,рок,Энергичное
106,0.2716717609627439,0.07739611273211337,хип-хоп,Спокойное
109,0.1690142496053366,0.1433436308079483,хип-хоп,Энергичное
108,0.2619002092279431,0.11182538843378928,хип-хоп,Спокойное
122,0.7376852562905246,0.18104041735628343,рок,Веселое
71,0.23513802340785614,0.09960374542934061,хип-хоп,Энергичное
98,0.33070186960336734,0.09606225425607598,поп,Веселое
106,0.5946968611837821,0.20918315403299778,рок,Веселое
115,0.2244782541200721,0.08520809399578073,поп,Веселое
109,0.1521658349660818,0.10685202837499583,хип-хоп,Грустное
134,0.5290203056954402,0.18004457857440498,рок,Грустное
96,0.4526069225035944,0.13438890161945974,поп,Энергичное
95,0.2675420211814656,0.07606945282359032,хип-хоп,Веселое
154,0.5578765867237889,0.15073643477462775,рок,Веселое
107,0.5222788077148728,0.1755975180244509,рок,Грустное
96,0.2632863746438768,0.13206394757439555,хип-хоп,Спокойное
116,0.2582821860536127,0.11035882015870893,поп,Веселое
107,0.7074216057225237,0.2783793817553553,рок,Грустное
106,0.7921326334864183,0.24163623911663995,рок,Энергичное
84,0.15078308278686894,0.1263364423003911,хип-хоп,Энергичное
123,0.4072301454462084,0.11665688223905193,рок,Спокойное
77,0.23915687986901643,0.05391863266756463,хип-хоп,Веселое
97,0.35500887722797003,0.08762141955080016,поп,Грустное
122,0.21431483830749465,0.08904308724229548,поп,Грустное
128,0.603525630735504,0.2861858211374585,рок,Спокойное
121,0.3371795484841186,0.11119398354251153,поп,Грустное
87,0.16973319745834586,0.08365542148887264,хип-хоп,Грустное
126,0.41901179496854557,0.08164063577923968,поп,Спокойное
105,0.18090162542443802,0.12399087604473745,хип-хоп,Энергичное
102,0.26062795127597915,0.11771683423829817,хип-хоп,Спокойное
104,0.3190351481641665,0.08905214565077231,поп,Спокойное
134,0.41744150870177354,0.1293209643384051,рок,Энергичное
90,0.14404820951310965,0.08772590832279759,хип-хоп,Энергичное
105,0.10661014658010969,0.051530454029038476,хип-хоп,Спокойное
113,0.23604939434169267,0.16998928993639661,поп,Веселое
125,0.2814628747459226,0.11191255099570868,поп,Энергичное
88,0.12961738599067998,0.11497736826427633,хип-хоп,Спокойное
97,0.25966902499691025,0.11259396701015728,хип-хоп,Грустное
123,0.7720067339243328,0.21429460504100212,рок,Веселое
90,0.23926085456795768,0.08463043210894008,хип-хоп,Грустное
76,0.16519178104037696,0.07145891197083741,хип-хоп,Энергичное
104,0.2152305593118191,0.09994585182911035,поп,Веселое
102,0.3736594686522676,0.1994997650035245,поп,Спокойное
140,0.621105986734196,0.21837774776425686,рок,Веселое
131,0.20828503156211142,0.1153392736207316,поп,Энергичное
93,0.18220740266364627,0.07608936233417139,хип-хоп,Веселое
83,0.27755401975219196,0.07382361524039795,хип-хоп,Спокойное
108,0.43013850240245133,0.19633339759282306,рок,Спокойное
121,0.33154223690542606,0.16363100670365777,поп,Веселое
131,0.2415059277253404,0.1523338258427958,поп,Спокойное
108,0.18076723421160817,0.06753302698893385,хип-хоп,Веселое
113,0.2934239928173883,0.17084974424509472,поп,Веселое
112,0.2750754081547592,0.09281072791230613,поп,Веселое
139,0.789465534702127,0.29170829937663967,рок,Веселое
143,0.6684574067296203,0.2645580703753386,рок,Энергичное
84,0.28712699884418946,0.10343274735305634,хип-хоп,Спокойное
97,0.14181432414754275,0.08483366044531973,хип-хоп,Веселое
111,0.2583140101984619,0.08387791413315805,поп,Спокойное
85,0.1301435087930859,0.1320426843771268,хип-хоп,Энергичное
78,0.20355027010549603,0.084062456946424,хип-хоп,Спокойное
157,0.5323001218682055,0.28153874126970924,рок,Спокойное
134,0.2909796544019668,0.10036158846746787,поп,Грустное
104,0.36112472815899666,0.15762180340024687,поп,Грустное
94,0.17976488848891062,0.13112041767360028,хип-хоп,Грустное
81,0.19406012688920768,0.10733670416719332,хип-хоп,Веселое
92,0.2548597991321922,0.1271587338774631,поп,Грустное
128,0.4016078405885598,0.1261042197655064,поп,Грустное
159,0.697668209222625,0.1425455790048458,рок,Грустное
83,0.17951440421750448,0.11816136689727898,хип-хоп,Спокойное
95,0.4908610601342477,0.09598221502684996,поп,Веселое
104,0.14571000435945994,0.09179460317155788,хип-хоп,Спокойное
143,0.658041344812226,0.26739277484747476,рок,Грустное
128,0.21165042032882697,0.12027920777563558,поп,Энергичное
89,0.24704322384815441,0.11928903586919394,хип-хоп,Веселое
128,0.3883683244845908,0.19029388583343915,поп,Грустное
77,0.14937521256772024,0.13069129770507792,хип-хоп,Энергичное
104,0.7533976089065036,0.27262770439780076,рок,Веселое
71,0.2930838702577587,0.12316477552996402,хип-хоп,Энергичное
92,0.32593425693388295,0.1973480802505125,поп,Веселое
90,0.47456411828794415,0.13764440982396256,поп,Грустное
128,0.4065499702296099,0.12935061399024428,поп,Спокойное
128,0.48038419920191294,0.17949970648478175,поп,Энергичное
86,0.2964336686658871,0.10479718832480872,хип-хоп,Энергичное
159,0.546587513833144,0.21074061046916015,рок,Грустное
78,0.24222990648760356,0.05389631323102337,хип-хоп,Веселое
92,0.29954809700978835,0.05480589241970338,хип-хоп,Спокойное
127,0.6289169876683354,0.17004364934006272,рок,Грустное
108,0.7624395150874217,0.2411662967757389,рок,Грустное
144,0.5232243167409557,0.25625921009424046,рок,Спокойное
117,0.2242618899851593,0.14619054470528842,поп,Веселое
116,0.33270566891933134,0.19823432607986052,поп,Энергичное
124,0.7915571433100037,0.24740711135820176,рок,Энергичное
80,0.153356202855057,0.14491457315913858,хип-хоп,Спокойное
93,0.22687026894027276,0.10010398839152593,хип-хоп,Энергичное
103,0.26933222844766114,0.07385968597903401,хип-хоп,Спокойное
133,0.31964627043343835,0.12999668692861752,поп,Спокойное
146,0.6211279907631632,0.18726716632131118,рок,Спокойное
93,0.21057861781426557,0.1443891604560757,хип-хоп,Энергичное
115,0.5221455441377574,0.1709810380925441,рок,Грустное
100,0.255300102299411,0.18519937831109512,поп,Энергичное
90,0.27686208307833743,0.14672060463711015,поп,Энергичное
134,0.23982362667289095,0.11251491710181559,поп,Спокойное
130,0.22816198702438753,0.16994939599712866,поп,Энергичное
100,0.27018568975350254,0.08777288861762948,хип-хоп,Спокойное
75,0.21165869072141952,0.06276897294224656,хип-хоп,Спокойное
138,0.7812287388095813,0.14733703873641574,рок,Энергичное
105,0.20332717825420285,0.09234709423081186,хип-хоп,Энергичное
121,0.2275397197440326,0.15021794387905663,поп,Спокойное
95,0.24007156599455426,0.10618666921437736,хип-хоп,Веселое
83,0.13499098541918725,0.14675805515202472,хип-хоп,Грустное
100,0.6359483390242175,0.11117423093547002,рок,Энергичное
90,0.14843198765548518,0.13009492946823997,хип-хоп,Спокойное
87,0.15577427051843637,0.13671166072097218,хип-хоп,Энергичное
102,0.48957554911723095,0.12324141142463219,поп,Грустное
131,0.36981116314822293,0.16300572766026944,поп,Энергичное
134,0.45464853257681154,0.11657826433867086,рок,Грустное
73,0.11923531021828415,0.11557226353807422,хип-хоп,Веселое
132,0.29799537253881225,0.12659220607878466,поп,Энергичное
133,0.24759393429274731,0.14412155300353557,поп,Энергичное
98,0.11297844942179631,0.051716110183175026,хип-хоп,Спокойное
73,0.29925073995158485,0.10759245752580845,хип-хоп,Веселое
121,0.24651248501832326,0.18983052100029277,поп,Спокойное
136,0.6835643987640474,0.2056740242594418,рок,Энергичное
119,0.451680050620809,0.08694366773092489,поп,Спокойное
132,0.5879778055963772,0.14664561448490557,рок,Веселое
116,0.6288016796836733,0.17933032039085037,рок,Веселое
132,0.5941119497105263,0.1660505058038197,рок,Энергичное
144,0.5001847274422337,0.2991862484060658,рок,Веселое
117,0.579369657194499,0.23535398088486065,рок,Энергичное
136,0.4281664523398176,0.24819477218213365,рок,Спокойное
130,0.49385315858645257,0.12534206591309438,поп,Энергичное
71,0.1739308912122809,0.11364035974460113,хип-хоп,Энергичное
116,0.39713339855005003,0.08441862411631897,поп,Спокойное
120,0.5135683898949863,0.26942862881911794,рок,Веселое
141,0.6990875095589656,0.2760719937276833,рок,Веселое
72,0.23614109031095334,0.10393774484000626,хип-хоп,Веселое
123,0.5737577462041715,0.29373038879482694,рок,Грустное
122,0.21745807865253308,0.17331227404822708,поп,Энергичное
134,0.7978202043189364,0.20266523373847856,рок,Веселое
